Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
KOKO MAA,5524566,5530922,5536943,5542572,5547759,5552441,5556546,5560015,5562826,5564865,5566184,5566685,5566369,5565202,5563141,5560243,5556472,5551856,5546460,5540199,5533247,5525528
MA1 MANNER-SUOMI,5494524,5500619,5506386,5511772,5516715,5521162,5525035,5528282,5530869,5532706,5533828,5534127,5533630,5532281,5530041,5526975,5523044,5518273,5512722,5506313,5499207,5491352
MK01 Uusimaa,1686320,1701280,1715868,1730052,1743813,1757101,1769914,1782231,1794018,1805291,1816071,1826362,1836142,1845431,1854222,1862517,1870317,1877608,1884398,1890686,1896521,1901907
Helsinki,1568975,1584518,1599657,1614369,1628636,1642432,1655742,1668546,1680808,1692555,1703801,1714548,1724772,1734492,1743694,1752390,1760579,1768241,1775390,1782029,1788197,1793905
Espoo,287905,292052,296067,299943,303678,307254,310666,313918,317005,319936,322710,325322,327769,330061,332216,334240,336150,337950,339649,341254,342774,344217
Helsinki,655276,662389,669339,676117,682725,689164,695419,701482,707342,712998,718451,723687,728673,733398,737852,742025,745897,749457,752704,755645,758300,760700
Hyvinkää,46455,46414,46379,46350,46326,46304,46281,46255,46227,46199,46167,46136,46104,46071,46037,46000,45963,45922,45879,45832,45782,45730
Järvenpää,43918,44418,44909,45395,45864,46313,46749,47167,47563,47937,48289,48621,48933,49222,49493,49744,49980,50197,50401,50592,50776,50946
Karkkila,8707,8639,8579,8523,8469,8423,8378,8336,8295,8258,8224,8192,8164,8138,8112,8089,8067,8049,8032,8018,8004,7989
Kauniainen,9703,9781,9858,9936,10012,10090,10166,10239,10309,10382,10454,10524,10591,10655,10719,10782,10844,10903,10958,11014,11069,11124
Kerava,36437,36622,36805,36988,37170,37343,37511,37675,37826,37969,38102,38226,38348,38465,38573,38672,38764,38843,38912,38975,39030,39078
Kirkkonummi,39415,39560,39701,39836,39961,40085,40205,40319,40425,40530,40636,40741,40847,40958,41066,41176,41292,41410,41528,41648,41771,41892
Lohja,45951,45614,45289,44975,44670,44372,44082,43797,43526,43263,43007,42761,42519,42291,42073,41868,41669,41480,41302,41133,40971,40816
Mäntsälä,20649,20618,20592,20572,20556,20540,20524,20507,20489,20470,20455,20441,20429,20419,20412,20409,20405,20405,20412,20421,20431,20440
Nurmijärvi,42878,43080,43269,43447,43614,43771,43917,44055,44186,44305,44418,44526,44632,44734,44836,44933,45034,45143,45259,45378,45497,45612
Pornainen,5031,4996,4964,4935,4905,4879,4855,4838,4822,4806,4795,4786,4780,4777,4774,4772,4773,4771,4775,4781,4787,4792
Sipoo,20970,21264,21551,21834,22112,22385,22655,22914,23165,23406,23639,23865,24087,24303,24516,24725,24930,25131,25325,25513,25696,25874
Siuntio,6119,6110,6103,6093,6086,6078,6072,6066,6060,6055,6052,6054,6059,6066,6074,6082,6090,6101,6111,6123,6135,6146
Tuusula,38687,38719,38751,38786,38825,38863,38910,38964,39015,39065,39114,39163,39220,39287,39357,39433,39517,39605,39698,39794,39890,39984
Vantaa,231645,234987,238213,241321,244310,247181,249933,252572,255092,257504,259809,262020,264131,266154,268084,269924,271673,273325,274877,276321,277676,278937
Vihti,29229,29255,29288,29318,29353,29387,29419,29442,29461,29472,29479,29483,29486,29493,29500,29516,29531,29549,29568,29587,29608,29628
Raasepori,40911,40486,40088,39719,39365,39015,38677,38349,38034,37725,37424,37139,36866,36607,36363,36131,35904,35687,35481,35277,35084,34899
Hanko,8212,8056,7909,7773,7643,7517,7399,7286,7177,7069,6964,6865,6773,6684,6600,6522,6445,6372,6305,6240,6178,6119
Inkoo,5365,5332,5301,5271,5243,5215,5188,5161,5137,5112,5088,5066,5042,5024,5007,4993,4977,4965,4954,4942,4931,4923
Raasepori,27334,27098,26878,26675,26479,26283,26090,25902,25720,25544,25372,25208,25051,24899,24756,24616,24482,24350,24222,24095,23975,23857
Porvoo,59066,59080,59091,59085,59078,59061,59037,59010,58975,58928,58877,58815,58748,58677,58606,58530,58454,58383,58310,58242,58174,58108
Askola,4954,4947,4938,4924,4912,4900,4889,4877,4864,4846,4827,4808,4788,4770,4751,4733,4717,4701,4688,4677,4666,4656
Myrskylä,1910,1898,1888,1876,1865,1852,1839,1828,1816,1807,1798,1788,1779,1769,1761,1753,1746,1741,1735,1730,1724,1721
Porvoo,50318,50366,50408,50442,50469,50490,50501,50508,50506,50496,50479,50455,50424,50388,50350,50306,50259,50213,50165,50118,50070,50021
Pukkila,1884,1869,1857,1843,1832,1819,1808,1797,1789,1779,1773,1764,1757,1750,1744,1738,1732,1728,1722,1717,1714,1710
Loviisa,17368,17196,17032,16879,16734,16593,16458,16326,16201,16083,15969,15860,15756,15655,15559,15466,15380,15297,15217,15138,15066,14995
Lapinjärvi,2633,2606,2579,2556,2534,2512,2493,2474,2453,2436,2417,2402,2389,2376,2363,2349,2338,2326,2315,2303,2293,2284
Loviisa,14735,14590,14453,14323,14200,14081,13965,13852,13748,13647,13552,13458,13367,13279,13196,13117,13042,12971,12902,12835,12773,12711
MK02 Varsinais-Suomi,479371,480126,480847,481545,482215,482874,483518,484115,484678,485195,485639,486015,486300,486511,486612,486621,486533,486336,486035,485634,485138,484568
Åboland-Turunmaa,21789,21647,21512,21379,21252,21130,21007,20888,20773,20662,20552,20440,20323,20210,20100,19994,19891,19795,19699,19609,19520,19432
Kemiönsaari,6664,6606,6552,6501,6451,6405,6358,6316,6275,6237,6202,6166,6129,6092,6058,6022,5989,5957,5924,5894,5864,5834
Parainen,15125,15041,14960,14878,14801,14725,14649,14572,14498,14425,14350,14274,14194,14118,14042,13972,13902,13838,13775,13715,13656,13598
Salo,60548,59976,59420,58892,58369,57869,57379,56898,56433,55985,55540,55107,54691,54287,53899,53529,53173,52831,52503,52186,51880,51579
Salo,51799,51301,50816,50356,49901,49464,49034,48609,48198,47800,47402,47019,46651,46295,45954,45628,45314,45012,44721,44440,44168,43900
